URL,Film Name,Screening type,Date,Time,Venue,City
https://festival.sundance.org/program/film/67531e8868b8b72082fe3240,2000 Meters to Andriivka,Premiere,Jan 23,5:00 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/67531e8868b8b72082fe3240,2000 Meters to Andriivka,Screening,Jan 24,1:10 PM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/67531e8868b8b72082fe3240,2000 Meters to Andriivka,Screening,Jan 25,6:00 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/67531e8868b8b72082fe3240,2000 Meters to Andriivka,Screening,Jan 29,12:00 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/67531e8868b8b72082fe3240,2000 Meters to Andriivka,Screening,Jan 31,8:45 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/67532569707ccddea40890ac,All That’s Left of You (اللي باقي منك),Premiere,Jan 25,6:00 PM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/67532569707ccddea40890ac,All That’s Left of You (اللي باقي منك),Screening,Jan 26,9:00 AM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/67532569707ccddea40890ac,All That’s Left of You (اللي باقي منك),Screening,Jan 27,5:15 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/67532569707ccddea40890ac,All That’s Left of You (اللي باقي منك),Screening,Jan 28,8:00 AM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/67532569707ccddea40890ac,All That’s Left of You (اللي باقي منك),Screening,Jan 30,10:45 AM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/67532569707ccddea40890ac,All That’s Left of You (اللي باقي منك),Screening,Feb 1,12:00 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/675333aa68b8b73e67fe584a,André is an Idiot,Premiere,Jan 24,11:30 AM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/675333aa68b8b73e67fe584a,André is an Idiot,Screening,Jan 25,11:00 AM MST,Redstone Cinemas - 4,Park City
https://festival.sundance.org/program/film/675333aa68b8b73e67fe584a,André is an Idiot,Screening,Jan 26,12:00 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/675333aa68b8b73e67fe584a,André is an Idiot,Screening,Jan 30,1:10 PM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/675333aa68b8b73e67fe584a,André is an Idiot,Screening,Feb 1,11:55 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/short-info/67534d6363b943583cc22c14,Animated Short Film Program,Premiere,Jan 24,8:30 PM  MST,Library Center Theatre,Park City
https://festival.sundance.org/program/short-info/67534d6363b943583cc22c14,Animated Short Film Program,Screening,Jan 25,5:20 PM  MST,Redstone Cinemas - 3,Park City
https://festival.sundance.org/program/short-info/67534d6363b943583cc22c14,Animated Short Film Program,Screening,Jan 27,10:00 PM  MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/short-info/67534d6363b943583cc22c14,Animated Short Film Program,Screening,Feb 1,5:20 PM  MST,Redstone Cinemas - 3,Park City
https://festival.sundance.org/program/film/67531c96707ccd6b2d08815e,April,Premiere,Jan 23,12:00 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/67531c96707ccd6b2d08815e,April,Screening,Jan 24,10:20 AM MST,Redstone Cinemas - 3,Park City
https://festival.sundance.org/program/film/67531c96707ccd6b2d08815e,April,Screening,Jan 24,6:00 PM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/67531c96707ccd6b2d08815e,April,Screening,Jan 29,1:50 PM MST,Redstone Cinemas - 3,Park City
https://festival.sundance.org/program/film/67531c96707ccd6b2d08815e,April,Screening,Feb 2,11:30 AM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/67532cf0707ccd336d089fd3,April & Amanda,Premiere,Jan 28,9:15 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/67532cf0707ccd336d089fd3,April & Amanda,Screening,Jan 29,12:30 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/67532cf0707ccd336d089fd3,April & Amanda,Screening,Jan 30,12:00 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/67532cf0707ccd336d089fd3,April & Amanda,Screening,Feb 1,9:00 AM MST,Redstone Cinemas - 1,Park City
